threads,algo,mode,dataset,n,m,Delta,c,batch_sz,run,time_s
1,dplus1,thread,rmat_262144,262144,2601013,NA,NA,2601013,0,0.47833
1,dplus1,thread,rmat_262144,262144,2601013,NA,NA,2601013,1,0.433634
1,dplus1,thread,rmat_262144,262144,2601013,NA,NA,2601013,2,0.444038
1,dplus1,thread,rmat_262144,262144,2601013,NA,NA,2601013,3,0.432739
1,dplus1,thread,rmat_262144,262144,2601013,NA,NA,2601013,4,0.43185
1,cbyd_c2,thread,rmat_262144,262144,2601013,NA,2,2601013,0,0.431769
1,cbyd_c2,thread,rmat_262144,262144,2601013,NA,2,2601013,1,0.43081
1,cbyd_c2,thread,rmat_262144,262144,2601013,NA,2,2601013,2,0.431448
1,cbyd_c2,thread,rmat_262144,262144,2601013,NA,2,2601013,3,0.431332
1,cbyd_c2,thread,rmat_262144,262144,2601013,NA,2,2601013,4,0.430901
1,dplus1_10batch,thread,rmat_262144,262144,2601013,NA,NA,2601013,0,0.604162
1,dplus1_10batch,thread,rmat_262144,262144,2601013,NA,NA,2601013,1,0.621033
1,dplus1_10batch,thread,rmat_262144,262144,2601013,NA,NA,2601013,2,0.631159
1,dplus1_10batch,thread,rmat_262144,262144,2601013,NA,NA,2601013,3,0.648356
1,dplus1_10batch,thread,rmat_262144,262144,2601013,NA,NA,2601013,4,0.658954
1,cbyd_c2_10batch,thread,rmat_262144,262144,2601013,NA,2,2601013,0,0.674666
1,cbyd_c2_10batch,thread,rmat_262144,262144,2601013,NA,2,2601013,1,0.6834
1,cbyd_c2_10batch,thread,rmat_262144,262144,2601013,NA,2,2601013,2,0.696049
1,cbyd_c2_10batch,thread,rmat_262144,262144,2601013,NA,2,2601013,3,0.703641
1,cbyd_c2_10batch,thread,rmat_262144,262144,2601013,NA,2,2601013,4,0.715585
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,2,2601013,0,0.468873
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,2,2601013,1,0.423372
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,2,2601013,2,0.423561
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,2,2601013,3,0.423335
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,2,2601013,4,0.424629
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,3,2601013,0,0.423853
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,3,2601013,1,0.423295
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,3,2601013,2,0.423187
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,3,2601013,3,0.423832
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,3,2601013,4,0.42325
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,4,2601013,0,0.423351
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,4,2601013,1,0.423315
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,4,2601013,2,0.423533
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,4,2601013,3,0.422942
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,4,2601013,4,0.423445
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,6,2601013,0,0.42284
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,6,2601013,1,0.423126
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,6,2601013,2,0.423532
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,6,2601013,3,0.422854
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,6,2601013,4,0.422561
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,8,2601013,0,0.42377
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,8,2601013,1,0.423412
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,8,2601013,2,0.424729
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,8,2601013,3,0.423361
1,cbyd,c_scaling,rmat_262144,262144,2601013,1894,8,2601013,4,0.423566
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,2,2601013,0,0.598946
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,2,2601013,1,0.611239
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,2,2601013,2,0.627392
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,2,2601013,3,0.638288
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,2,2601013,4,0.65306
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,3,2601013,0,0.664046
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,3,2601013,1,0.676243
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,3,2601013,2,0.684449
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,3,2601013,3,0.694048
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,3,2601013,4,0.701845
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,4,2601013,0,0.710204
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,4,2601013,1,0.717682
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,4,2601013,2,0.723431
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,4,2601013,3,0.731319
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,4,2601013,4,0.735984
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,6,2601013,0,0.741348
1,cbyd_10batch,c_scaling_10batch,rmat_262144,262144,2601013,1894,6,2601013,1,0.74576
